area_coverage_2016,area_coverage_2014,area_sq_km,pcd_sector,area_coverage_2015,name,site_count,site_density
0.0,0.0,55.847437,PA716,0.0,ArgyllandBute,1,0.01790592467117157
0.0,0.0,35.439211,PA696,0.0,ArgyllandBute,1,0.02821733249083903
0.0,0.0,12.85239,PA636,0.0,ArgyllandBute,0,0
0.0,0.0,372.178835,PA607,0.0,ArgyllandBute,2,0.005373760708343342
0.0,0.0,134.720781,PA706,0.0,ArgyllandBute,1,0.007422759819066073
0.0,0.0,77.171648,PA626,0.0,ArgyllandBute,1,0.012958126798069673
0.0,0.0,135.471905,PA364,0.0,ArgyllandBute,4,0.029526417304015916
0.0,0.0,45.761604,PA686,0.0,ArgyllandBute,2,0.04370476174742476
100.0,100.0,1.0371,S701,100.0,BarnsleyDistrict,8,7.7138173753736385
100.0,100.0,0.4316,S702,100.0,BarnsleyDistrict,2,4.633920296570899
100.0,100.0,2.3936,S752,100.0,BarnsleyDistrict,5,2.088903743315508
100.0,51.02709006,2.2296,S362,100.0,BarnsleyDistrict,3,1.3455328310010763
100.0,0.0,3.6116,S713,100.0,BarnsleyDistrict,9,2.4919703178646584
100.0,0.0,3.1519,S703,100.0,BarnsleyDistrict,4,1.2690757955518894
100.0,0.0,3.7071,S738,100.0,BarnsleyDistrict,6,1.6185158209921502
100.0,0.0,3.0604,S366,100.0,BarnsleyDistrict,1,0.32675467259181806
100.0,0.0,3.4979,S706,100.0,BarnsleyDistrict,3,0.8576574516138255
100.0,0.0,3.7462,S711,100.0,BarnsleyDistrict,5,1.3346858149591587
100.0,0.0,4.5715,S712,100.0,BarnsleyDistrict,3,0.6562397462539648
100.0,0.0,2.2857,S748,100.0,BarnsleyDistrict,2,0.87500546878418
100.0,0.0,5.0347,S630,36.46294715,BarnsleyDistrict,5,0.9931078316483604
100.0,0.0,4.9391,S704,0.0,BarnsleyDistrict,6,1.2147962179344416
100.0,0.0,4.75,S756,0.0,BarnsleyDistrict,3,0.631578947368421
100.0,0.0,11.0826,S728,0.0,BarnsleyDistrict,5,0.4511576705827153
100.0,0.0,7.0255,S715,0.0,BarnsleyDistrict,4,0.5693544943420397
100.0,0.0,5.8975,S639,0.0,BarnsleyDistrict,5,0.8478168715557439
